[09-Mar-2024 20:08:11 UTC] wps:2132
[09-Mar-2024 20:10:47 UTC] end ci_import_product(wps, 79 -> ignore)
[09-Mar-2024 20:10:47 UTC] start ci_import_product(wps, 90)
[09-Mar-2024 20:10:49 UTC] end ci_import_product(wps, 90 -> update)
[09-Mar-2024 20:10:49 UTC] start ci_import_product(wps, 91)
[09-Mar-2024 20:10:52 UTC] end ci_import_product(wps, 91 -> update)
[09-Mar-2024 20:10:52 UTC] start ci_import_product(wps, 92)
[09-Mar-2024 20:10:54 UTC] end ci_import_product(wps, 92 -> update)
[09-Mar-2024 20:10:54 UTC] start ci_import_product(wps, 93)
[09-Mar-2024 20:10:57 UTC] end ci_import_product(wps, 93 -> update)
[09-Mar-2024 20:10:57 UTC] start ci_import_product(wps, 125)
[09-Mar-2024 20:10:59 UTC] end ci_import_product(wps, 125 -> update)
[09-Mar-2024 20:10:59 UTC] start ci_import_product(wps, 130)
[09-Mar-2024 20:11:02 UTC] end ci_import_product(wps, 130 -> update)
[09-Mar-2024 20:11:02 UTC] start ci_import_product(wps, 141)
[09-Mar-2024 20:11:06 UTC] end ci_import_product(wps, 141 -> update)
[09-Mar-2024 20:11:06 UTC] start ci_import_product(wps, 142)
[09-Mar-2024 20:11:08 UTC] end ci_import_product(wps, 142 -> ignore)
[09-Mar-2024 20:11:08 UTC] start ci_import_product(wps, 145)
[09-Mar-2024 20:11:10 UTC] end ci_import_product(wps, 145 -> ignore)
[09-Mar-2024 20:11:11 UTC] start ci_import_product(wps, 147)
[09-Mar-2024 20:11:11 UTC] end ci_import_product(wps, 147 -> ignore)
[09-Mar-2024 20:11:11 UTC] start ci_import_product(wps, 148)
[09-Mar-2024 20:11:13 UTC] end ci_import_product(wps, 148 -> ignore)
[09-Mar-2024 20:11:13 UTC] start ci_import_product(wps, 149)
[09-Mar-2024 20:11:15 UTC] end ci_import_product(wps, 149 -> ignore)
[09-Mar-2024 20:11:15 UTC] start ci_import_product(wps, 150)
[09-Mar-2024 20:11:17 UTC] end ci_import_product(wps, 150 -> ignore)
[09-Mar-2024 20:11:17 UTC] start ci_import_product(wps, 153)
[09-Mar-2024 20:11:19 UTC] end ci_import_product(wps, 153 -> ignore)
[09-Mar-2024 20:11:19 UTC] start ci_import_product(wps, 155)
[09-Mar-2024 20:11:21 UTC] end ci_import_product(wps, 155 -> ignore)
[09-Mar-2024 20:11:21 UTC] start ci_import_product(wps, 156)
[09-Mar-2024 20:11:22 UTC] end ci_import_product(wps, 156 -> ignore)
[09-Mar-2024 20:11:22 UTC] start ci_import_product(wps, 157)
[09-Mar-2024 20:11:24 UTC] end ci_import_product(wps, 157 -> ignore)
[09-Mar-2024 20:11:24 UTC] start ci_import_product(wps, 158)
[09-Mar-2024 20:11:26 UTC] end ci_import_product(wps, 158 -> ignore)
[09-Mar-2024 20:11:26 UTC] start ci_import_product(wps, 159)
[09-Mar-2024 20:11:28 UTC] end ci_import_product(wps, 159 -> ignore)
[09-Mar-2024 20:11:29 UTC] start ci_import_product(wps, 162)
[09-Mar-2024 20:11:30 UTC] end ci_import_product(wps, 162 -> ignore)
[09-Mar-2024 20:11:30 UTC] start ci_import_product(wps, 163)
[09-Mar-2024 20:11:32 UTC] end ci_import_product(wps, 163 -> ignore)
[09-Mar-2024 20:11:32 UTC] start ci_import_product(wps, 164)
[09-Mar-2024 20:11:34 UTC] end ci_import_product(wps, 164 -> update)
[09-Mar-2024 20:11:34 UTC] start ci_import_product(wps, 167)
[09-Mar-2024 20:11:37 UTC] end ci_import_product(wps, 167 -> update)
[09-Mar-2024 20:11:37 UTC] start ci_import_product(wps, 174)
[09-Mar-2024 20:11:40 UTC] end ci_import_product(wps, 174 -> update)
[09-Mar-2024 20:11:40 UTC] start ci_import_product(wps, 176)
[09-Mar-2024 20:11:42 UTC] end ci_import_product(wps, 176 -> update)
[09-Mar-2024 20:11:42 UTC] start ci_import_product(wps, 179)
[09-Mar-2024 20:11:45 UTC] end ci_import_product(wps, 179 -> update)
[09-Mar-2024 20:11:45 UTC] start ci_import_product(wps, 180)
[09-Mar-2024 20:11:47 UTC] end ci_import_product(wps, 180 -> update)
[09-Mar-2024 20:11:47 UTC] start ci_import_product(wps, 184)
[09-Mar-2024 20:11:50 UTC] end ci_import_product(wps, 184 -> update)
[09-Mar-2024 20:11:50 UTC] start ci_import_product(wps, 187)
[09-Mar-2024 20:11:52 UTC] end ci_import_product(wps, 187 -> ignore)
[09-Mar-2024 20:11:54 UTC] start ci_import_product(wps, 198)
[09-Mar-2024 20:11:54 UTC] end ci_import_product(wps, 198 -> ignore)
[09-Mar-2024 20:11:54 UTC] start ci_import_product(wps, 199)
[09-Mar-2024 20:11:56 UTC] end ci_import_product(wps, 199 -> ignore)
[09-Mar-2024 20:11:56 UTC] start ci_import_product(wps, 208)
[09-Mar-2024 20:11:58 UTC] end ci_import_product(wps, 208 -> ignore)
[09-Mar-2024 20:11:58 UTC] start ci_import_product(wps, 209)
[09-Mar-2024 20:11:59 UTC] end ci_import_product(wps, 209 -> ignore)
[09-Mar-2024 20:11:59 UTC] start ci_import_product(wps, 213)
[09-Mar-2024 20:12:01 UTC] end ci_import_product(wps, 213 -> ignore)
[09-Mar-2024 20:12:01 UTC] start ci_import_product(wps, 214)
[09-Mar-2024 20:12:03 UTC] end ci_import_product(wps, 214 -> ignore)
[09-Mar-2024 20:12:03 UTC] start ci_import_product(wps, 217)
[09-Mar-2024 20:12:06 UTC] end ci_import_product(wps, 217 -> update)
[09-Mar-2024 20:12:06 UTC] start ci_import_product(wps, 225)
[09-Mar-2024 20:12:08 UTC] end ci_import_product(wps, 225 -> update)
[09-Mar-2024 20:12:08 UTC] start ci_import_product(wps, 241)
[09-Mar-2024 20:12:11 UTC] end ci_import_product(wps, 241 -> update)
[09-Mar-2024 20:12:11 UTC] start ci_import_product(wps, 404)
[09-Mar-2024 20:12:20 UTC] end ci_import_product(wps, 404 -> update)
[09-Mar-2024 20:12:30 UTC] start ci_import_product(wps, 601)
[09-Mar-2024 20:12:31 UTC] end ci_import_product(wps, 601 -> ignore)
[09-Mar-2024 20:12:31 UTC] start ci_import_product(wps, 614)
[09-Mar-2024 20:12:32 UTC] end ci_import_product(wps, 614 -> ignore)
[09-Mar-2024 20:12:32 UTC] start ci_import_product(wps, 615)
[09-Mar-2024 20:12:34 UTC] end ci_import_product(wps, 615 -> ignore)
[09-Mar-2024 20:12:34 UTC] start ci_import_product(wps, 616)
[09-Mar-2024 20:12:36 UTC] end ci_import_product(wps, 616 -> ignore)
[09-Mar-2024 20:12:36 UTC] start ci_import_product(wps, 617)
[09-Mar-2024 20:12:38 UTC] end ci_import_product(wps, 617 -> ignore)
[09-Mar-2024 20:12:38 UTC] start ci_import_product(wps, 618)
[09-Mar-2024 20:12:40 UTC] end ci_import_product(wps, 618 -> ignore)
[09-Mar-2024 20:12:40 UTC] start ci_import_product(wps, 619)
[09-Mar-2024 20:12:41 UTC] end ci_import_product(wps, 619 -> ignore)
[09-Mar-2024 20:12:41 UTC] start ci_import_product(wps, 620)
[09-Mar-2024 20:12:43 UTC] end ci_import_product(wps, 620 -> ignore)
[09-Mar-2024 20:12:43 UTC] start ci_import_product(wps, 621)
[09-Mar-2024 20:12:45 UTC] end ci_import_product(wps, 621 -> ignore)
[09-Mar-2024 20:12:45 UTC] start ci_import_product(wps, 622)
[09-Mar-2024 20:12:47 UTC] end ci_import_product(wps, 622 -> ignore)
[09-Mar-2024 20:14:31 UTC] start ci_import_product(wps, 623)
[09-Mar-2024 20:14:32 UTC] end ci_import_product(wps, 623 -> ignore)
[09-Mar-2024 20:14:32 UTC] start ci_import_product(wps, 624)
[09-Mar-2024 20:14:34 UTC] end ci_import_product(wps, 624 -> ignore)
[09-Mar-2024 20:14:34 UTC] start ci_import_product(wps, 625)
[09-Mar-2024 20:14:35 UTC] end ci_import_product(wps, 625 -> ignore)
[09-Mar-2024 20:14:35 UTC] start ci_import_product(wps, 626)
[09-Mar-2024 20:14:37 UTC] end ci_import_product(wps, 626 -> ignore)
[09-Mar-2024 20:14:37 UTC] start ci_import_product(wps, 627)
[09-Mar-2024 20:14:39 UTC] end ci_import_product(wps, 627 -> ignore)
[09-Mar-2024 20:14:39 UTC] start ci_import_product(wps, 632)
[09-Mar-2024 20:14:41 UTC] end ci_import_product(wps, 632 -> ignore)
[09-Mar-2024 20:14:41 UTC] start ci_import_product(wps, 633)
[09-Mar-2024 20:14:43 UTC] end ci_import_product(wps, 633 -> ignore)
[09-Mar-2024 20:14:43 UTC] start ci_import_product(wps, 644)
[09-Mar-2024 20:14:44 UTC] end ci_import_product(wps, 644 -> ignore)
[09-Mar-2024 20:14:44 UTC] start ci_import_product(wps, 658)
[09-Mar-2024 20:14:46 UTC] end ci_import_product(wps, 658 -> ignore)
